-2844.62,3,26072,8389,0.573173,0.0171499,1.1531,0.0570355,-0.383242,0.00973276,0.0328029,0.0268776,0.380558,0.00969019,-0.0413742,0.0272678,0.697308,0.0187863,-0.775816,0.0192184,0.746527,0.019473,-0.68159,0.0195723
-2891.56,3,26072,8389,0.563506,0.0167978,1.11394,0.0524744,-0.356959,0.00951737,0.0385888,0.0255776,0.385887,0.00961125,-0.048468,0.0266089,0.741999,0.01981,-0.748681,0.019127,0.777067,0.0200909,-0.70414,0.0193723
-2813.81,3,26072,8389,0.569336,0.0167317,1.12953,0.0497746,-0.383705,0.00993541,0.0108042,0.0271885,0.369891,0.00981529,-0.00969112,0.0273189,0.696638,0.0193513,-0.76761,0.0194087,0.732931,0.0199974,-0.693473,0.0199256
-2871.38,3,26072,8389,0.567952,0.0173264,1.1105,0.053835,-0.36695,0.00973679,0.00526349,0.027309,0.370345,0.00955157,0.0225029,0.0267128,0.649011,0.0190095,-0.805576,0.0203333,0.773228,0.0199018,-0.704256,0.0194557
-2752.55,3,26072,8389,0.592672,0.0165936,1.24314,0.0597548,-0.381731,0.00997026,0.0311361,0.028603,0.37176,0.00990693,-0.0496141,0.0281225,0.690929,0.0191934,-0.74191,0.019499,0.714841,0.0196988,-0.675371,0.0197444
-2862.74,3,26072,8389,0.564114,0.0166229,1.26708,0.0619009,-0.370656,0.00990883,-0.0166135,0.0272491,0.391577,0.0100248,0.0206233,0.028439,0.697272,0.0188763,-0.741364,0.0190029,0.760487,0.0201669,-0.650088,0.0193579
-2686.68,3,26072,8389,0.558865,0.0175839,1.19171,0.0627108,-0.355852,0.00978761,-0.0327835,0.0275929,0.397312,0.0098856,0.0104213,0.0296035,0.697747,0.0195799,-0.736344,0.0189914,0.764245,0.0201985,-0.653265,0.0193337
-2778.57,3,26072,8389,0.576564,0.017276,1.12915,0.0544304,-0.382588,0.00981739,0.00029857,0.0274283,0.366354,0.00979032,0.0705386,0.0280211,0.683605,0.0192178,-0.737686,0.019513,0.76909,0.0200209,-0.697962,0.0194523
-2758.76,3,26072,8389,0.597317,0.0163252,1.3159,0.0690829,-0.379913,0.00991618,0.0377945,0.0275936,0.380316,0.00993933,0.0431815,0.0282681,0.711832,0.0194309,-0.702892,0.0186996,0.727956,0.0195633,-0.684011,0.0195239
-2834.63,3,26072,8389,0.570473,0.0162509,1.27379,0.060367,-0.371418,0.00970962,0.0695214,0.0274418,0.36002,0.00975242,0.0160949,0.0267904,0.668712,0.0187017,-0.786666,0.0201203,0.769057,0.0199919,-0.687323,0.0197881
-2552.38,3,26072,8389,0.59891,0.0179376,1.19493,0.0664779,-0.375584,0.0100638,0.0589811,0.0289851,0.359025,0.0101347,-0.113408,0.0294262,0.66283,0.0197404,-0.721509,0.0201301,0.752204,0.0205869,-0.648317,0.0199112
-2735.64,3,26072,8389,0.566043,0.0169641,1.21176,0.0612228,-0.357825,0.00969697,-0.00607235,0.0268385,0.360975,0.00975389,-0.0212661,0.0279255,0.715247,0.0195067,-0.751099,0.0196837,0.765026,0.0203465,-0.672963,0.0196638
-2962.76,3,26072,8389,0.585869,0.0166483,1.17475,0.0547886,-0.364916,0.00969607,-0.0192498,0.0262694,0.392948,0.00975878,-0.00315079,0.0270643,0.668154,0.0189621,-0.803993,0.01951,0.790989,0.0200115,-0.655955,0.0191166
-2795.77,3,26072,8389,0.580197,0.0162313,1.34558,0.0680759,-0.376627,0.00992971,-0.00523604,0.0285045,0.389907,0.00996655,0.0433002,0.0287047,0.663712,0.0187487,-0.739531,0.019185,0.74929,0.0196728,-0.668258,0.0194251
-2869.91,3,26072,8389,0.584242,0.0169745,1.2569,0.0696935,-0.380397,0.00969296,0.0254999,0.0271601,0.382144,0.00969467,-0.047184,0.0268719,0.69984,0.0189398,-0.747712,0.0191628,0.760956,0.0197451,-0.69688,0.0192452
-2871.68,3,26072,8389,0.558669,0.0169295,1.13282,0.0517268,-0.378883,0.0098616,0.00791642,0.0275979,0.388529,0.00985935,-0.0238126,0.0277483,0.708002,0.0192977,-0.748554,0.0191107,0.730529,0.0199743,-0.708268,0.0197025
-2669.7,3,26072,8389,0.565118,0.0178664,1.11473,0.0567063,-0.370726,0.0099443,0.054151,0.0285104,0.36415,0.00983105,0.0148656,0.027552,0.675734,0.0194835,-0.777811,0.0200455,0.723538,0.0201605,-0.70159,0.0205957
-2803.85,3,26072,8389,0.570303,0.0170584,1.17335,0.0576521,-0.39518,0.00989175,0.0583719,0.0278893,0.365023,0.00970573,-0.0266525,0.0275205,0.68088,0.0190798,-0.75116,0.0196137,0.711177,0.0193262,-0.742852,0.0201857
-2809.65,3,26072,8389,0.568353,0.0175019,1.1486,0.0595311,-0.371488,0.00962741,0.0244923,0.0263582,0.374422,0.00978358,-0.00921609,0.0276959,0.693606,0.0199775,-0.735353,0.0197168,0.816943,0.0200289,-0.671314,0.0189209
-2805.42,3,26072,4526,0.570869,0.0169854,1.21571,0.0596238,-0.377846,0.00994117,0.0578489,0.0280146,0.365191,0.00994542,0.021076,0.0275498,0.670337,0.0197022,-0.740712,0.0200438,0.7616,0.0197438,-0.692273,0.0196927
-580.606,3,4870,853,0.547759,0.0363147,1.37769,0.147301,-0.357629,0.022084,0.0657159,0.0663958,0.398959,0.0220559,0.029481,0.0675313,0.673685,0.0422676,-0.733515,0.0436934,0.708964,0.0437639,-0.719369,0.044169
-465.168,3,4870,853,0.609156,0.0413498,1.15262,0.152678,-0.328476,0.0224842,-0.0346103,0.061716,0.335461,0.0225609,-0.0730483,0.0617522,0.684641,0.0477841,-0.686849,0.0459975,0.7227,0.0468735,-0.730238,0.048225
-538.648,3,4870,853,0.611845,0.0372218,1.32122,0.164025,-0.370585,0.0219727,-0.105357,0.0638285,0.371196,0.021961,-0.123947,0.0646097,0.690657,0.0449663,-0.705934,0.0440211,0.737495,0.0447025,-0.68223,0.0424786
>>>>>>> 630bc2c7fc0cc1a4901493b8d483adff32358e58
